incident_type,location,date,time,summary,disposition,interesting,month_year
Report Of Gang Or Terrorist Threat,Student Services Center On Russell Lane,10/31/24,Unknown,"reporting party reports a member of a student organization he belongs to, made a comment in regards to harming an ex-girlfriends current partner.",Report Taken,t,Oct-24
Vandalism,Torrey Pines Center South,10/31/24,10:00 AM - 10:00 AM,Graffiti on exit sign,Report Taken,f,Oct-24
Minor Injury Collision,Atkinson Hall On Voigt Drive,10/31/24,2:20 PM,Electric scooter VS pedestrian,Report Taken,f,Oct-24
Non Injury Collision,George Palade Laboratories,10/31/24,2:37 PM,UCSD Vehicle Vs gate,Report Taken,f,Oct-24
Information Only,UC San Diego Campus,10/31/24,3:18 PM,Concerns regarding student looking up body armour and assault weapons on personal laptop,Information Only,t,Oct-24
Minor Injury Accident,Parking Lot P112,10/31/24,8:50 AM,Electric scooter VS UCSD ADA vehicle,Report Taken,f,Oct-24
Simple Assault,UCSD Alvarado Road,10/31/24,9:00 PM,Security advised of 2 patients in a physical altercation. One of the parties involved was,Information Only,t,Oct-24
Trespass,Matthews Lane / Voigt Drive,10/31/24,4:25 PM,Unaffiliated subject violating active stay away order,"Closed By Citation, Adult",t,Oct-24
Tampering With A Vehicle,Campus Point Parking West,10/31/24,3:45 PM - 5:30 PM,"Driver side turn signal was removed, damage was estimated at $300.00",Report Taken,f,Oct-24
Citizen Flag down,Cuzco House,10/31/24,5:37 PM,Citizen flag down on the west side,Checks Ok,f,Oct-24
Noise Disturbance,Pepper Canyon Apartments 1700,12/12/24,1:55 AM,Loud stomping,Will Cooperate,f,Dec-24
Information,Gilman Drive/ Library Walk,10/31/24,5:43 PM,Concrete bollard on top of the utility box appears unstable and could fall off.,Referred to Other UCSD Department,f,Oct-24
Medical Aid,Black's Beach On Blacks Beach Way,10/31/24,6:09 PM,Citizen was stung by sting ray,Referred to Other Agency,f,Oct-24
Suspicious Person,La Jolla Del Sol Apartments,10/31/24,7:10 PM,"An Unknown subject was knocking on the reporting party's door, per a neighbor, this subject has been in the area for 2 hours looking into houses. No further details given",Gone On Arrival,t,Oct-24
Suspicious Vehicle,Pangea Parking,10/31/24,7:36 PM,Suspicious vehicle on the 3rd level of the structure with no plates and an obscured VIN number. Unknown how long the vehicle has been there.,Gone On Arrival,f,Oct-24
Suspicious Person,Rita Atkinson Residences,10/31/24,10:00 PM,Two unknown subjects flashing lights into a dorm,Gone On Arrival,f,Oct-24
Citizen Contact,Cala At Miramar Street,10/31/24,10:05 PM,Contacted a subject,Will Cooperate,t,Oct-24
Citizen Contact,Sankofa On Scholars Drive South,10/31/24,10:12 PM,Contacted a subject,Gone On Arrival,t,Oct-24
Alcohol Contact,Tapestry,10/31/24,10:26 PM,Contacted a student,Referred To Other Agency- UCSD Student Conduct Referral,t,Oct-24
Possession Of Marijuana,Tamarack Apartments,10/31/24,10:45 PM,Caller can smell odor of marijuana coming from her window,Referred to ]Student Conduct,f,Oct-24
Noise Disturbance,Charles David Keeling Apartments,10/31/24,11:12 PM,People talking loudly and filming possible videos in the courtyard area.,Referred to Student Conduct,f,Oct-24
Noise Disturbance,Latin America Hall,10/31/24,11:15 PM,Caller can hear people screaming and having a good time on the 3rd floor.,Referred To Other Agency- Student Conduct Referral,f,Oct-24
Party Disturbance,Seventh College West,10/31/24,11:27 PM,Group of loud subject and possible under age drinking activity,Referred To Other Agency- Student Conduct Referral,t,Oct-24
Welfare Check,Sankofa On Scholars Drive South,10/31/24,23:44 PM - 12:31 AM,Checking the well being of a female subject that is passed out in a nearby bench closest to the new dorms. Unknown female subject has possibly had too much to drink,Report Taken,t,Oct-24
General Disturbance,Price Center On Lyman Walk,10/31/24,11:57 PM,"Subject refusing to leave the study room area, has been asked several times to leave.",Report Taken,t,Oct-24
Simple Assault,UCSD Medical Center - Hillcrest,10/31/24,5:00 PM,Patient attempted to spit on staff member,Hospital Report Taken,t,Oct-24
Noise Disturbance,Marshall Upper Apartments J,11/1/24,12:11 AM,People being loud and laughing from unknown apartment,Quiet on Arrival,f,Nov-24
Party Disturbance,Seventh College West #3,11/1/24,12:19 AM,"Subjects associated with a party are in the hallway making noise, with smell of alcohol on them",Referred to Other Department (UCSD),f,Nov-24
Drunk in Public,Seventh College West #3,11/1/24,12:32 AM,Request for officer to evaluate subject that had been drinking,Checks OK,t,Nov-24
Welfare Check,Vela,11/1/24,12:53 AM,Welfare check request for roommate who was not texting back after bringing someone over,Checks OK,t,Nov-24
Welfare Check,Roots,11/1/24,1:01 AM,Welfare check request for student slumped over and appears over intoxicated,Checks OK,f,Nov-24
Traffic Hazard,La Jolla Village/Interstate 5 North bound,11/1/24,1:22 AM,Vehicle blocking the #1 lane,Referred to Other Agency,f,Nov-24
Noise Disturbance,Middle East Hall,11/1/24,2:01 AM,"Report of people laughing, talking, and banging in known unit",Disposition Quiet on Arrival,f,Nov-24
Traffic Hazard,Parking Lot P416,11/1/24,2:21 AM,Subjects putting branches on the middle of the road,Gone on Arrival/Unable to Locate,t,Nov-24
Citizen Contact,Warren Lawn,11/1/24,3:04 AM,Contacted two subjects at hammocks,Checks OK,t,Nov-24
Noise Disturbance,Brennan Hall,11/1/24,4:11 AM,Report of loud noises and a whistle possibly coming from the adjacent apartment,Checks OK,f,Nov-24
Trespass,Price Center East,11/1/24,4:38 AM,Subjects keeps returning to second floor after being told to leave,Will Cooperate,t,Nov-24
Suspicious Vehicle,Munk House,11/1/24,7:00 AM,"Newer, electric vehicle with back passenger window down and lights on since 4:00 AM",Checks OK,t,Nov-24
Welfare Check,Stein Clinical Research Bldg.,11/1/24,7:24 AM,"Subject sleeping in the bushes, under gray blanket. Citation issued",Report Taken,f,Nov-24
Reckless Driving,Regents Road,11/1/24,8:07 AM,"Vehicle was not using signals, swerving between cars, and brake checking other vehicles",Referred to Other Agency,f,Nov-24
Report of Hit and Run - No Injuries,Jacobs Medical Center,11/1/24,10:08 AM,Information report for a hit and run with possible suspect information,Report Taken,t,Nov-24
Injury,Scholars Drive North/Exploration,11/1/24,11:18 AM,Subject crashed their skateboard and sustained injuries,Report Taken,f,Nov-24
Injury,Scholars Drive North/Exploration,11/1/24,11:24 AM,Pedestrian reporting previously reported injury related to case #2024-2197,Logged Event,f,Nov-24
Psych Subject Disturbance,Price Center East,11/1/24,11:52 AM,Subject heard screaming that they wanted to die in restroom. Transported to hospital,Report Taken,f,Nov-24
Welfare Check,Pangea Parking Structure,11/1/24,12:19 PM,Caller requesting welfare check on sister who is having a hard time with classes,Checks OK,f,Nov-24
Medical Aid,Price Center West,11/1/24,12:21 PM,Subject passed out in first floor restroom,Service Provided,f,Nov-24
Welfare Check,Tuolumne Apartments,11/1/24,12:33 PM,Subject requesting to speak someone urgently,Cancelled After Dispatch,f,Nov-24
Report of Hit and Run - No Injuries,Torrey Pines Gliderport,11/1/24,1:30 PM,Caller called 911 to report a hit and run with no suspect information. Referred to SDPD,Logged Event,t,Nov-24
Report of Petty Theft - Micro Mobility Device,Triton Statue,11/1/24,7:00 PM - 8:40 PM,"Secured, electric scooter was stolen, loss of $650",Report Taken,f,Nov-24
Triton CORE,Campus Emergency Services Building,11/1/24,2:51 PM,Attempt to contact subject who made concerning comments online,Unable to Locate,t,Nov-24
Medical Aid,Rebecca and John Moores Cancer Center,11/1/24,4:04 PM,Patient requiring transportation to emergency room,Referred to Other Agency,f,Nov-24
Report of Petty Theft,Douglas Hall,11/1/24,4:38 PM,Back wheel taken from bike locker. Will file online report,Cancelled Before Dispatch,f,Nov-24
Suspicious Vehicle,Parking Lot P016,11/1/24,4:47 PM,"Subject sitting in vehicle in parking lot, appeared under influence of drugs",Gone on Arrival/Unable to Locate,t,Nov-24
Medical Aid,Nobel Drive,11/1/24,5:29 PM,Request to send patient from nursing facility to emergency room,Referred to Other Agency,f,Nov-24
Medical Aid,Lyman Lane,11/1/24,5:58 PM,"Subject requested help with pain in leg, and then cancelled",Checks OK,f,Nov-24
Criminal Threat,Rya,11/1/24,8:19 PM,Chronic suitemate dispute. Criminal threats were made. Transported to hospital,Report Taken,f,Nov-24
Injury,Marshall Upper Apartments G,11/1/24,8:59 PM,Subject fell from electric scooter and sustained injuries. Transported to hospital,Report Taken,f,Nov-24
Citizen Contact,Kaleidoscope,11/1/24,10:25 PM,Request for USO to dispose of alcohol containers,Service Provided,f,Nov-24
Attempt to Contact,Rita Atkinson Residences,11/1/24,10:38 PM,Reporting party has not been able to get a hold of son since morning,Cancelled After Dispatch,t,Nov-24
Party Disturbance,Kaleidoscope,11/1/24,10:52 PM,Reporting party was checking on a loud party and residents are refusing to open the door,Checks OK,t,Nov-24
Suspicious Person,Cala,11/1/24,10:49 PM,Subject followed reporting party into building,Gone on Arrival/Unable to Locate,t,Nov-24
Citizen Contact,Cala,11/1/24,11:01 PM,Advised subjects of pool closure,Checks OK,f,Nov-24
Report of Petty Theft - Mirco Mobility Device,Blake Hall,11/1/24,8:30 PM - 12:00 AM,"Secured, electric scooter was stolen, loss of $200",Report Taken,f,Nov-24
Report of Petty Theft - Micro Mobility Device,Beagle Hall,11/1/24,5:00 AM - 5:40 AM,"Electric scooter was stolen, loss of $290",Report Taken,f,Nov-24
Report of Petty Theft - Micro Mobility Device,Geisel Library,11/1/24,4:00 PM - 3:50 PM,"Secured, electric scooter was stolen, loss of $301.69",Report Taken,f,Nov-24
Noise Disturbance,Stewart Hall,11/2/24,12:15 AM,2 men playing basketball,Gone on Arrival,f,Nov-24
Citizen Assist,Pangea Drive,11/2/24,12:45 AM,Reporting party's skateboard fell down storm drain and requiring assistance to retrieve it,Service Provided,f,Nov-24
Party Disturbance,Tdlln - Podemos,11/2/24,1:05 AM,Reports of noise coming from an unknown location,Referred to Student Conduct,f,Nov-24
Medical Aid,Tapestry,11/2/24,Unknown,"19 year old female conscious and breathing, possibly over intoxicated",Disposition Report Taken,t,Nov-24
Information,Parking Lot P506,11/2/24,8:31 AM,Caller needs assistance with his assigned UC vehicle,Referred to Other Department - UCSD,f,Nov-24
Grand Theft,Price Center Plaza,11/2/24,9:13 AM,Backpack taken,Checks Ok,f,Nov-24
General Disturbance,Rya,11/2/24,10:27 AM,Reports of suitemates having a dispute,Referred to Other Department - UCSD,t,Nov-24
Noise Disturbance,Pangea Parking,11/2/24,11:42 AM,Reports of loud drumming noise coming from area,Checks Ok,f,Nov-24
Animal Call,Birch Aquarium,11/2/24,12:35 PM,Reports of dog left in vehicle,Check ok,t,Nov-24
General Disturbance,One Miramar Street,11/2/24,1:48 PM,Reports of an arguments between residents at location,Gone on Arrival,t,Nov-24
General Disturbance,Muir Field,11/2/24,3:48 PM,Unknown male at location refusing to leave,Will Cooperate,t,Nov-24
General Disturbance,Muir Field,11/2/24,3:52 PM,Reports of an Aggressive male at location,Logged Event,t,Nov-24
General Disturbance,Tdlln - Pulse,11/2/24,4:05 PM,Reporting of trick skaters at location,Will Cooperate,f,Nov-24
Suspicious Person,Seventh College West,11/2/24,6:03 PM,Reports of an elderly male on the stairwell at location,Checks Ok,t,Nov-24
Welfare Check,Vela on Gilman Drive,11/2/24,6:57 PM,Reporting party is mother requesting a welfare check on her daughter who is a student,Checks Ok,f,Nov-24
Property Damage,Seventh College West,11/2/24,Unknown,Report of Tupperware burning in the oven,Report Taken,f,Nov-24
Attempt to Contact,Blake Hall,11/2/24,9:55 PM,Reporting party is mother of student who hasn’t heard from her daughter since yesterday,Checks Ok,t,Nov-24
Hazard Situation,Campus Point Drive,11/2/24,10:22 PM,Reports of a large amount of soap that mixed with rain on the road and causing drivers to loose control,Checks Ok,t,Nov-24
Attempt to Contact,Muir Lane,11/2/24,11:45 PM,Reporting party's mother concerned for her son who she hasn’t heard from in 4 days,Information Only,t,Nov-24
Tamper with Fire Alarm,Scholars Parking,11/2/24,Unknown,Unknown suspect pulled fire alarm,Report Taken,t,Nov-24
Noise Disturbance,Scholars Drive,11/2/24,11:53 PM,Reporting party can hear someone running around and bouncing a ball at location,Checks Ok,f,Nov-24
Petty Theft - Micro Mobility Device,Central Campus,11/2/24,Unknown,Secured Electric Bicycle Stolen; Loss $950,Online Report,f,Nov-24
Noise Disturbance,Cresta On Miramar Street,11/3/24,12:26 AM,Loud voices possible roof top party,UCSD- Student Conduct Referral,f,Nov-24
Suspicious Person,Catalyst On Drive North,11/3/24,12:26 AM,"Subject has been asked to leave the area, and has refused to leave",Report Taken,t,Nov-24
Suicide Attempt,Tuolumne Apartments On Scholars Lane,11/3/24,12:50 AM,"Subject had too much to drink and is making suicidal threats, unknown means.",Report Taken,t,Nov-24
Medical Aid,Pulse On Scholars Drive South,11/3/24,1:05 AM,Medics Requested,Checks Ok,f,Nov-24
Noise Disturbance,Podemos On Scholars Drive South,11/3/24,1:08 AM,People outside in the lawn area yelling and playing games,Gone On Arrival,f,Nov-24
Noise Disturbance,Tuolumne Apartments On Scholars Lane,11/3/24,1:38 AM,Student near the water pipes being loud,Quiet On Arrival,f,Nov-24
Citizen Flag down,Joan And Irwin Jacobs La Jolla Playhouse,11/3/24,1:57 AM,"In front of the building, a subject over intoxicated",Referred To Other Agency- San Diego Fire Department,t,Nov-24
Party Disturbance,Blake Hall On Scholars Drive South,11/3/24,1:32 AM,"Approximately 6-9 people laughing loud, making noise, and vomiting inside",Referred To Other Agency- UCSD- Student Conduct Referral,f,Nov-24
Information,Mesa Apartments Central,11/3/24,4:15 AM,"Driver side door is open on a vehicle. Unable to contact the owner of the vehicle, a voicemail was left for the owner to call back.",Checks Ok,t,Nov-24
Information,UC San Diego On Gilman Drive,11/3/24,8:32 AM,Citizen called 911 to advise she lost her phone,Information Only,f,Nov-24
Medical Aid,Regents Rd,11/3/24,12:08 PM,Medics Requested,Referred To Other Agency- San Diego Fire Department,f,Nov-24
Welfare Check,Seventh College,11/3/24,12:20 PM,Caller is concerned for the welfare of her suitemate that showed her signs of cutting her arms,Service Provided,t,Nov-24
Citizen Contact,Vela On Gilman Dr,11/3/24,2:55 PM,"Unaffiliated subject in the bathrooms, per caller he does not belong in the area.",Checks Ok,f,Nov-24
Fraud,Cala On Miramar Street,11/3/24,2:57 PM,"Reporting party lost $2,000.00 to a text scam",Report Taken,f,Nov-24
Theft,RIMAC,11/3/24,7:30 PM - 1:30 PM,"Theft of a wallet, reporting party believes they lost it at the gym",Report Taken,f,Nov-24
Grand Theft-Micro Mobility Device,UCSD Trolley Central Campus Station,11/3/24,8:00 AM - 3:00 PM,"A secured E- bike was taken from the bike racks, lock was left behind",Report Taken,f,Nov-24
Grand Theft-Micro Mobility Device,Discovery Hall,11/3/24,12:00 AM - 1:35 PM,Secured e-scooter was taken from the bike racks in front of the building,Report Taken,f,Nov-24
Welfare Check,La Jolla Shores,11/3/24,3:28 PM,Lifeguards have been advised of 2 surfers possibly out too far,Referred To Other Agency- San Diego Lifeguards,t,Nov-24
Welfare Check,Price Center West,11/3/24,3:42 PM,Subject sleeping in the ballroom east hallway,Field Interview,f,Nov-24
Ticket Sign Off,Campus Emergency Services Building On Greenhouse Lane,11/3/24,5:55 PM,Assisted with a ticket sign off,Service provided,f,Nov-24
Illegal Parking,Parking Lot P203 On Scholars Drive South,11/3/24,8:36 PM,Vehicle in a reserved parking spot,Service Provided,f,Nov-24
Medical Aid,"One Miramar Street, Building 3",11/3/24,9:23 PM,Medics requested,Referred To Other Agency- San Diego Fire Department,f,Nov-24
UC Policy Violation,Vela On Gilman Drive South,11/3/24,9:46 PM,Group of subject in the Southside courtyard,Referred To Other Agency- Student Conduct Referral,f,Nov-24
Report Of Petty Theft- Micro Mobility Device,Geisel Library,11/3/24,4:00 PM - 3:50 PM,A secured e-scooter was take from the bike racks to the right hand side of the entrance to the,Report Taken,f,Nov-24
Report Of Petty Theft- Micro Mobility Device,Trolley- Central Campus Station On Innovation Lane,11/3/24,Unknown,A secured electric scooter was taken from the bike racks located south of the central trolley,Report Taken,f,Nov-24
Noise Disturbance,Goldberg Apartments On Equality Lane,11/3/24,11:43 PM,Loud music and talking,Referred To Other Agency- Student Conduct Referral,f,Nov-24
UCSD Hillcrest,Bike Theft,11/3/24,Unknown,Stolen property was retrieved and documented.,Hospital Report Taken,f,Nov-24
Information Only,Rita Atkinson Residences,11/4/24,Unknown,Received a call from reporting party stating they heard gun shots in the area,Report Taken,t,Nov-24
Noise Disturbance,Blake Hall,11/4/24,12:28 AM,Loud group playing basketball in courtyard,Gone on Arrival,f,Nov-24
Citizen Contact,Marshall Residential Life,11/4/24,3:46 AM,Subject outside location is asking to speak with a officer,Verbal Warning Issued,f,Nov-24
Suspicious Person,Medical Education and Telemedicine,11/4/24,11:11 AM,Report of male in bushes at location,Gone on Arrival,t,Nov-24
Petty Theft - Micro Mobility Device,Trolley - Central Campus Station,11/4/24,Unknown,Secured Electric Scooter Stolen; Loss $250,Report Taken,f,Nov-24
Medical Aid,Tapestry on Scholars,11/4/24,12:48 PM,18 year old female having an allergic reaction,Referred to Other Agency - San Diego Fire Department,f,Nov-24
Suspicious Person,Center Hall,11/4/24,Unknown,Reports of a male casing bikes in the area,Arrest,f,Nov-24
Missing Person,Tdlln - Sankofa,11/4/24,4:30 PM,Reporting party is a suitemate concerned for their roommate who they cant get in contact with,Report Taken,t,Nov-24
Sexual Battery,Trolley - Central Campus Station,11/4/24,4:32 PM,Reporting party reported while on the trolley an unknown subject sat next to them and started touching themselves in appropriately,Information Only,f,Nov-24
Petty Theft,Matthews Apartments,11/4/24,4:35 PM,Secured stolen bicycle; Lost $200,Report Taken,f,Nov-24
Suspicious Vehicle,Mesa Apartments South,11/4/24,5:24 PM,Report of a white van in the area occupied with non-affiliates,Information Only,t,Nov-24
Preserve the Peace,Rya on Gilman,11/4/24,6:01 PM,Reporting party requesting officer to standby while reporting party retrieves belongings,Service Provided,t,Nov-24
Noise Disturbance,Epstein Family Amphitheater,11/4/24,7:17 PM,Reports of speakers interfering with event at location,Will Cooperate,f,Nov-24
Information,Shank Theatre,11/4/24,7:28 PM,Report of firing off a prop gun will can back when finished,Information Only,t,Nov-24
Petty Theft,Geisel Library,11/4/24,Unknown,Unknown stole a laptop from second floor at location; Loss $800,Report Taken,f,Nov-24
Noise Disturbance,Seventh College - East,11/4/24,11:11 PM,Piano playing loudly at location,Referred to Other Department - UCSD,f,Nov-24
Welfare Check,Tdlln - Azad,11/4/24,11:11 PM,Report of a person asleep on the 1st floor,Unable to Locate,f,Nov-24
Noise Disturbance,Atlantis Hall,11/4/24,11:31 PM,Residential Advisor contacted subject in common area who was loud talking,Quiet on Arrival,f,Nov-24
Petty Theft,Gilman Drive,11/4/24,Unknown,Report of lost jacket at location; Loss $50,Online Report,f,Nov-24
Petty Theft,Target,11/4/24,Unknown,Subject stole multiple items from store,Online Report,f,Nov-24
Noise Disturbance,Seventh College East,11/5/24,1:13 AM,Caller can hear loud music outside their apartment,Quiet On Arrival,f,Nov-24
Campus Security Authority Report (CSA),Jacobs Medical Center,11/5/24,12:18 AM,Simple assault,CSA Report Filed,f,Nov-24
Hit & Run No Injuries,Hopkins Parking,11/5/24,8:00 AM - 9:45 PM,"Hit & Run occurred on the 3rd level of the structure, no suspect information",Report Taken,f,Nov-24
Pedestrian Stop,Trolley- Central Station,11/5/24,9:09 AM,Unaffiliated subject contacted on the east platform during a fare inspection,"Closed By Citation, Adult",f,Nov-24
Petty Theft,Target,11/5/24,7:53 PM,"Several electronic items taken on Sunday night, loss is $840.00",Report Taken,f,Nov-24
Welfare Check,Design And Innovation Building,11/5/24,1:58 PM,Checking on a subject down in the area,Field Interview,f,Nov-24
Non- Participating Report,"La Mesa, California",11/5/24,Unknown,"Patient sustained injuries near his La Mesa, CA residence, declined to provide further information while treated at a UCSD facility",Report Taken,f,Nov-24
Petty Theft,Asia Hall,11/5/24,8:00 AM - 2:00 PM,"Victim's ring stolen from dorm room, loss $500.00",Report Taken,t,Nov-24
Citizen Assist,Applied Physics & Mathematics,11/5/24,3:25 PM,"Assisted caller with the phone number to local authorities in Columbus, Ohio",Information Only,f,Nov-24
Grand Theft,Geisel Library,11/5/24,3:56 PM,"Unattended laptop stolen, loss $1.500.00",Report Taken,f,Nov-24
General Disturbance,Africa Hall,11/5/24,5:21 PM,"Group of 4 juveniles doing tricks on their bikes, and biking across landscape and bushes.",Gone On Arrival,f,Nov-24
Disturbance,Epstien Family Amphitheater,11/7/24,10:26 AM,Subject near the coffee cart yelling and threatening to kill people,Arrest Misdemeanor,t,Nov-24
Report Of Gang Or Terrorist Threat,Trolley- La Jolla Health Station,11/5/24,4:45 PM,UCSD Health campus shuttle driver was threatened by a patron that pointed an umbrella at him and made verbal threats to hurt him.,Report Taken,f,Nov-24
Reckless Driving,Ola Parking,11/5/24,5:39 PM,"2 subjects on dirt bikes driving aggressively on the roadway and sidewalk, putting passerby's at risk of being hit",Gone On Arrival,t,Nov-24
Preserve The Peace,Rya On Gilman Drive,11/5/24,5:52 PM,Caller requested a police escort while he retrieved his property from his apartment,Service Provided,f,Nov-24
Petty Theft,Pepper Canyon Hall,11/5/24,6:10 PM,"Secured bicycle stolen, loss $150.00",Report Taken,f,Nov-24
Citizen Contact,Middle Earth On Scholars Drive North,11/5/24,7:38 PM,Individuals passing out pizza and fliers to get students to vote for a particular candidate,Referred to Other UCSD Department,f,Nov-24
Injury,Gilman Drive/ La Jolla Village Drive Ramp,11/5/24,7:57 PM,"Caller observed a subject fall off his bicycle, subject stood up and advised he was nauseous.",Referred to Other Agency,f,Nov-24
Citizen Flag down,La Jolla Scenic Way/ La Jolla Village Drive,11/5/24,8:05 PM,Officer was flagged down in regards to a group of subjects concerned for friend.,Information Only,t,Nov-24
Welfare Check,Center For Neutral Circuits & Behavior,11/5/24,8:49 PM,"Rambling caller, unable to provide her location",Unable To Locate,t,Nov-24
Noise Disturbance,Cala On Miramar Street,11/5/24,10:07 PM,Noisy group at the pub,Quiet On Arrival,f,Nov-24
Illegal Camping,Parking Lot 406,11/5/24,10:43 PM,Subject behind the dumpster wall seen with his pants down,Field Interview,f,Nov-24
Noise Disturbance,Cala on Miramar St,11/6/24,4:07 AM,Reports of loud stomping,Service Provided,f,Nov-24
Information,East Campus Utilities Plant,11/6/24,6:24 AM,Report of welding at location that may cause fire alarms to go off,Information Only,f,Nov-24
Medical Aid,Cala on Miramar St,11/6/24,7:32 AM,Reports of a 50 year old male with sever abdominal pain,Referred to Other Agency - San Diego Fire Department,f,Nov-24
Preserve the Peace,Trolley - Central Campus Station,11/6/24,10:09 AM,Reporting party wants to preserve the peace,Service Provided,t,Nov-24
General Disturbance,Rubicon,11/6/24,10:19 AM,Reports of a subject yelling at people,Referred to Other Agency - San Diego Police Department,f,Nov-24
Citizen Contact,Geisel Library,11/6/24,11:21 AM,Reporting party found a bike from a previous case,Information Only,f,Nov-24
Suicide,Geisel Library,11/6/24,11:35 AM,Reports of an older male who fell down the stair,Disposition Report Taken,t,Nov-24
Welfare Check,Seventh College - West,11/6/24,2:11 PM,Reports of a student with ideations of harming themselves,Service Provided,t,Nov-24
Hit and Run - No Injuries,North Torrey Pines Road,11/6/24,3:30 PM,Motorcycle vs Vehicle,Referred to Other Agency - San Diego Police Department,f,Nov-24
Psych Referral,Galbraith Hall,11/6/24,3:34 PM,Reports of a subject having ideations of harming themselves,Service Provided,t,Nov-24
Medical Aid,Neptune Avenue,11/6/24,3:44 PM,Reports of a female having an allergic reaction to the sun; conscious and breathing,Referred to Other Agency - San Diego Fire Department,f,Nov-24
Suspicious Vehicle,Greenhouse Lane,11/6/24,4:28 PM,Report of an abandoned vehicle at the intersection,Unable to Locate,f,Nov-24
Minor Injury Accident,North Torrey Pines Road,11/6/24,4:51 PM,Bike vs Vehicle,Referred to Other Agency - San Diego Fire Department,f,Nov-24
Suspicious Circumstances,Tuolumne Apartments,11/6/24,5:31 PM,Report of a male subject running to a car when confronted by a female student for unknown reasons,Report Taken,t,Nov-24
Suicide Attempt,South Parking Structure,11/6/24,6:56 PM,Caller reporting they are having ideations of harming themselves and are requesting to speak with Core,Service Provided,f,Nov-24
Noise Disturbance,One Miramar Street,11/6/24,7:33 PM,Reporting party hears screams coming from area,Checks Ok,f,Nov-24
Medical Aid,Moore's Cancer Center,11/6/24,7:47 PM,Reporting party requesting ambulance for a patient with a medical emergency,Referred to Other Department - San Diego Fire Department,f,Nov-24
Information,Shank Theatre,11/6/24,8:02 PM,Caller reporting they will be using a prop gun at location and will notify when done,Information Only,t,Nov-24
Information,Vela on Gilman Drive,11/6/24,8:07 PM,Reports of an unknown subject at the top of the 14th floor seen pacing,Information Only,t,Nov-24
General Disturbance,Moore's Cancer Center,11/6/24,8:09 PM,Reports of a patient attempting to leave and drive but needs medical attention per Medical Nurse,Gone on Arrival,f,Nov-24
Noise Disturbance,One Miramar Street,11/6/24,8:37 PM,Reporting party can hear noises and feels her neighbors are in need of help,Checks Ok,f,Nov-24
Noise Disturbance,Cala on Miramar St,11/6/24,10:40 PM,Reports of a loud group in front near the fire pits,Checks Ok,f,Nov-24
Traffic Hazard,La Jolla Village Drive,11/6/24,11:04 PM,Reports of a manhole cover off near location,Referred to Other Agency - San Diego Police Department,f,Nov-24
Noise Disturbance,Matthews Apartments,11/6/24,11:42 PM,Reports of loud yelling at location,Referred to Student Conduct,f,Nov-24
Medical Aid,Tenaya Hall,11/6/24,11:58 PM,Reporting party stating they are experiencing a migraine and dizziness,Referred to Other Agency - San Diego Fire Department,f,Nov-24
Noise Disturbance,Seventh College - West,11/7/24,12:00 AM,Reports of a female screaming from location,Referred to Student Conduct,f,Nov-24
Psych Disturbance,Villa La Jolla Drive,11/7/24,Unknown,Reports of a non affiliate at location having ideations of harming themselves,Report Taken,t,Nov-24
Noise Disturbance,Cresta on Miramar St,11/7/24,4:05 AM,Reporting party hears something hitting the wall at location,Quiet on Arrival,f,Nov-24
Welfare Check,Trolley - La Jolla Health Station,11/7/24,6:26 AM,Subject having trouble exiting due to wheelchair,Referred to Other Agency,f,Nov-24
Report of Hit and Run - No Injuries,Torrey Pines Center North,11/7/24,7:30 AM - 10:00 AM,Hit and run to vehicle with no suspect information,Report Taken,t,Nov-24
Unknown Injury Accident,Interstate 5 Northbound,11/7/24,8:11 AM,Report of vehicle facing the wrong way on the freeway. Unknown if there are injuries,Referred to Other Agency,f,Nov-24
Report of Vandalism,Trolley - La Jolla Heath Station,11/7/24,Unknown,Tagging near the ground level restrooms,Disposition Report Taken,f,Nov-24
Medical Aid,Pepper Canyon Hall,11/7/24,10:01 AM,Request for medics for student having a seizure,Referred to Other Agency,f,Nov-24
Medical Aid,Tuolumne Apartments,11/8/24,12:28 AM,Complaint of pain,Referred to Other Agency,f,Nov-24
Animal Call,Franklin Antonio Hall,11/7/24,10:27 AM,Injured bird,Referred to Other Department (UCSD),f,Nov-24
Suspicious Vehicle,South Mesa Apartments,11/7/24,10:31 AM,Running vehicle with no one inside or around,Referred to Other Department (UCSD),t,Nov-24
Preserve the Peace,Biomedical Sciences Building,11/7/24,10:55 AM,Request for police presence,Service Provided,f,Nov-24
Non-Injury Accident Report,Campus Services Complex Pumps,11/7/24,2:30 PM,Report of damage to university vehicle caused by reporting party,Report Taken,f,Nov-24
Citizen Contact,Galbraith Hall,11/7/24,1:58 PM,Contact with a group of skaters on the east side,Service Provided,f,Nov-24
Medical Aid,Brisa,11/7/24,2:06 PM,Request for medics,Referred to Other Agency,f,Nov-24
Unknown Injury Accident,La Jolla Village Drive,11/7/24,3:00 PM,Automated message saying phone holder was in a severe car crash,Referred to Other Agency,f,Nov-24
Injury,Trolley - La Jolla Health Station,11/7/24,3:33 PM,Subject fell off electric scooter,Service Provided,f,Nov-24
Citizen Contact,Coast Apartments,11/7/24,3:59 PM,Subject making reporting party uncomfortable after asking a question,Information Only,t,Nov-24
